size,cutoff,seed,success,time_sec,output
100,0,32,True,-1,Sorting 100 elements took 0.00 seconds.
100,0,64,True,-1,Sorting 100 elements took 0.00 seconds.
100,0,128,True,-1,Sorting 100 elements took 0.00 seconds.
100,0,256,True,-1,Sorting 100 elements took 0.00 seconds.
100,0,512,True,-1,Sorting 100 elements took 0.00 seconds.
100,0,1024,True,-1,Sorting 100 elements took 0.00 seconds.
100,0,2048,True,-1,Sorting 100 elements took 0.00 seconds.
100,1,0,True,-1,Sorting 100 elements took 0.00 seconds.
100,1,1,True,-1,Sorting 100 elements took 0.00 seconds.
100,1,2,True,-1,Sorting 100 elements took 0.00 seconds.
100,1,4,True,-1,Sorting 100 elements took 0.00 seconds.
100,1,8,True,-1,Sorting 100 elements took 0.00 seconds.
100,1,16,True,-1,Sorting 100 elements took 0.00 seconds.
100,1,32,True,-1,Sorting 100 elements took 0.00 seconds.
100,1,64,True,-1,Sorting 100 elements took 0.00 seconds.
100,1,128,True,-1,Sorting 100 elements took 0.00 seconds.
100,1,256,True,-1,Sorting 100 elements took 0.00 seconds.
100,1,512,True,-1,Sorting 100 elements took 0.00 seconds.
100,1,1024,True,-1,Sorting 100 elements took 0.00 seconds.
100,1,2048,True,-1,Sorting 100 elements took 0.00 seconds.
100,2,0,True,-1,Sorting 100 elements took 0.00 seconds.
100,2,1,True,-1,Sorting 100 elements took 0.00 seconds.
100,2,2,True,-1,Sorting 100 elements took 0.00 seconds.
100,2,4,True,-1,Sorting 100 elements took 0.00 seconds.
100,2,8,True,-1,Sorting 100 elements took 0.00 seconds.
100,2,16,True,-1,Sorting 100 elements took 0.00 seconds.
100,2,32,True,-1,Sorting 100 elements took 0.00 seconds.
100,2,64,True,-1,Sorting 100 elements took 0.00 seconds.
100,2,128,True,-1,Sorting 100 elements took 0.00 seconds.
100,2,256,True,-1,Sorting 100 elements took 0.00 seconds.
100,2,512,True,-1,Sorting 100 elements took 0.00 seconds.
100,2,1024,True,-1,Sorting 100 elements took 0.00 seconds.
100,2,2048,True,-1,Sorting 100 elements took 0.00 seconds.
100,4,0,True,-1,Sorting 100 elements took 0.00 seconds.
100,4,1,True,-1,Sorting 100 elements took 0.00 seconds.
100,4,2,True,-1,Sorting 100 elements took 0.00 seconds.
100,4,4,True,-1,Sorting 100 elements took 0.00 seconds.
100,4,8,True,-1,Sorting 100 elements took 0.00 seconds.
100,4,16,True,-1,Sorting 100 elements took 0.00 seconds.
100,4,32,True,-1,Sorting 100 elements took 0.00 seconds.
100,4,64,True,-1,Sorting 100 elements took 0.00 seconds.
100,4,128,True,-1,Sorting 100 elements took 0.00 seconds.
100,4,256,True,-1,Sorting 100 elements took 0.00 seconds.
100,4,512,True,0.01,Sorting 100 elements took 0.01 seconds.
100,4,1024,True,-1,Sorting 100 elements took 0.00 seconds.
100,4,2048,True,-1,Sorting 100 elements took 0.00 seconds.
100,8,0,True,0.02,Sorting 100 elements took 0.02 seconds.
100,8,1,True,0.02,Sorting 100 elements took 0.02 seconds.
100,8,2,True,0.02,Sorting 100 elements took 0.02 seconds.
100,8,4,True,0.02,Sorting 100 elements took 0.02 seconds.
100,8,8,True,0.02,Sorting 100 elements took 0.02 seconds.
100,8,16,True,0.02,Sorting 100 elements took 0.02 seconds.
100,8,32,True,0.02,Sorting 100 elements took 0.02 seconds.
100,8,64,True,0.02,Sorting 100 elements took 0.02 seconds.
100,8,128,True,0.02,Sorting 100 elements took 0.02 seconds.
100,8,256,True,0.02,Sorting 100 elements took 0.02 seconds.
100,8,512,True,0.02,Sorting 100 elements took 0.02 seconds.
100,8,1024,True,0.02,Sorting 100 elements took 0.02 seconds.
100,8,2048,True,0.02,Sorting 100 elements took 0.02 seconds.
100,16,0,True,0.02,Sorting 100 elements took 0.02 seconds.
100,16,1,True,0.02,Sorting 100 elements took 0.02 seconds.
100,16,2,True,0.02,Sorting 100 elements took 0.02 seconds.
100,16,4,True,0.02,Sorting 100 elements took 0.02 seconds.
100,16,8,True,0.02,Sorting 100 elements took 0.02 seconds.
100,16,16,True,0.02,Sorting 100 elements took 0.02 seconds.
